v = 0.987687  valongX = 0.987657
v = 0.991619  valongX = 0.991589
v = 0.993368  valongX = 0.993338
v = 0.999960  valongX = 0.999929
v = 0.997006  valongX = 0.996975
v = 1.002338  valongX = 1.002307
v = 0.997264  valongX = 0.997233
v = 1.002714  valongX = 1.002683
v = 0.997153  valongX = 0.997122
v = 1.002867  valongX = 1.002837
v = 0.997080  valongX = 0.997049
v = 1.002950  valongX = 1.002919
v = 0.997039  valongX = 0.997008
v = 1.002994  valongX = 1.002963
v = 0.997016  valongX = 0.996985
v = 0.985211  valongX = 0.985194
v = 0.985289  valongX = 0.985272
v = 0.988193  valongX = 0.988176
v = 0.993093  valongX = 0.993076
v = 0.998558  valongX = 0.998541
v = 0.997962  valongX = 0.997944
v = 1.001266  valongX = 1.001249
v = 0.998415  valongX = 0.998398
v = 1.001552  valongX = 1.001535
v = 0.998359  valongX = 0.998342
v = 1.001640  valongX = 1.001623
v = 0.998318  valongX = 0.998301
v = 1.001686  valongX = 1.001669
v = 0.998295  valongX = 0.998277
v = 1.001711  valongX = 1.001694
v = 0.998282  valongX = 0.998265
v = 0.990980  valongX = 0.990971
v = 0.990996  valongX = 0.990986
v = 1.010722  valongX = 1.010712
v = 1.003402  valongX = 1.003392
v = 1.015796  valongX = 1.015786
v = 1.001929  valongX = 1.001919
v = 1.008400  valongX = 1.008391
v = 0.999254  valongX = 0.999245
v = 1.003966  valongX = 1.003957
v = 0.998503  valongX = 0.998494
v = 1.002338  valongX = 1.002328
v = 0.998336  valongX = 0.998326
v = 1.001865  valongX = 1.001855
v = 0.998294  valongX = 0.998284
v = 1.001750  valongX = 1.001741
v = 0.998279  valongX = 0.998269
v = 0.947577  valongX = 0.947574
v = 0.952852  valongX = 0.952850
v = 0.974266  valongX = 0.974263
v = 0.987957  valongX = 0.987954
v = 1.001635  valongX = 1.001632
v = 0.999730  valongX = 0.999727
v = 1.002493  valongX = 1.002490
v = 0.999624  valongX = 0.999621
v = 1.001284  valongX = 1.001281
v = 0.999412  valongX = 0.999409
v = 1.000825  valongX = 1.000822
v = 0.999361  valongX = 0.999358
v = 1.000693  valongX = 1.000690
v = 0.999347  valongX = 0.999344
v = 1.000663  valongX = 1.000660
v = 0.999342  valongX = 0.999339
v = 0.953205  valongX = 0.953205
v = 0.957966  valongX = 0.957966
v = 0.962105  valongX = 0.962104
v = 0.982929  valongX = 0.982929
v = 0.992373  valongX = 0.992372
v = 0.998205  valongX = 0.998205
v = 0.999679  valongX = 0.999679
v = 0.999879  valongX = 0.999878
v = 1.000071  valongX = 1.000071
v = 0.999919  valongX = 0.999918
v = 1.000080  valongX = 1.000080
v = 0.999917  valongX = 0.999916
v = 1.000082  valongX = 1.000082
v = 0.999916  valongX = 0.999915
v = 1.000084  valongX = 1.000083
v = 0.999915  valongX = 0.999915
v = 0.988252  valongX = 0.988251
v = 0.989429  valongX = 0.989429
v = 0.990486  valongX = 0.990486
v = 0.995707  valongX = 0.995707
v = 0.998085  valongX = 0.998084
v = 0.999549  valongX = 0.999549
v = 0.999919  valongX = 0.999919
v = 0.999970  valongX = 0.999970
v = 1.000017  valongX = 1.000017
v = 0.999980  valongX = 0.999980
v = 1.000019  valongX = 1.000019
v = 0.999980  valongX = 0.999979
v = 1.000020  valongX = 1.000020
v = 0.999979  valongX = 0.999979
v = 1.000020  valongX = 1.000020
v = 0.999979  valongX = 0.999979
v = 0.996393  valongX = 0.996393
v = 0.996750  valongX = 0.996750
v = 0.997079  valongX = 0.997079
v = 0.998679  valongX = 0.998679
v = 0.999413  valongX = 0.999413
v = 0.999860  valongX = 0.999860
v = 0.999976  valongX = 0.999976
v = 0.999989  valongX = 0.999989
v = 1.000007  valongX = 1.000007
v = 0.999992  valongX = 0.999992
v = 1.000007  valongX = 1.000007
v = 0.999992  valongX = 0.999992
v = 1.000008  valongX = 1.000008
v = 0.999992  valongX = 0.999992
v = 1.000008  valongX = 1.000008
v = 0.999992  valongX = 0.999992
v = 0.998475  valongX = 0.998475
v = 0.998626  valongX = 0.998626
v = 0.998765  valongX = 0.998765
v = 0.999441  valongX = 0.999441
v = 0.999752  valongX = 0.999752
v = 0.999940  valongX = 0.999940
v = 0.999990  valongX = 0.999990
v = 0.999995  valongX = 0.999995
v = 1.000003  valongX = 1.000003
v = 0.999996  valongX = 0.999996
v = 1.000004  valongX = 1.000004
v = 0.999996  valongX = 0.999996
v = 1.000004  valongX = 1.000004
v = 0.999996  valongX = 0.999996
v = 1.000004  valongX = 1.000004
v = 0.999996  valongX = 0.999996
v = 0.999123  valongX = 0.999123
v = 0.999209  valongX = 0.999209
v = 0.999290  valongX = 0.999290
v = 0.999679  valongX = 0.999679
v = 0.999857  valongX = 0.999857
v = 0.999966  valongX = 0.999966
v = 0.999994  valongX = 0.999994
v = 0.999997  valongX = 0.999997
v = 1.000002  valongX = 1.000002
v = 0.999998  valongX = 0.999998
v = 1.000002  valongX = 1.000002
v = 0.999998  valongX = 0.999998
v = 1.000002  valongX = 1.000002
v = 0.999998  valongX = 0.999998
v = 1.000002  valongX = 1.000002
v = 0.999998  valongX = 0.999998
v = 0.999401  valongX = 0.999401
v = 0.999460  valongX = 0.999460
v = 0.999515  valongX = 0.999515
v = 0.999781  valongX = 0.999781
v = 0.999902  valongX = 0.999902
v = 0.999977  valongX = 0.999977
v = 0.999996  valongX = 0.999996
v = 0.999998  valongX = 0.999998
v = 1.000001  valongX = 1.000001
v = 0.999999  valongX = 0.999999
v = 1.000001  valongX = 1.000001
v = 0.999999  valongX = 0.999999
v = 1.000001  valongX = 1.000001
v = 0.999999  valongX = 0.999999
v = 1.000001  valongX = 1.000001
v = 0.999999  valongX = 0.999999
v = 0.999563  valongX = 0.999563
v = 0.999606  valongX = 0.999606
v = 0.999646  valongX = 0.999646
v = 0.999840  valongX = 0.999840
v = 0.999929  valongX = 0.999929
v = 0.999983  valongX = 0.999983
v = 0.999997  valongX = 0.999997
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 0.999999  valongX = 0.999999
v = 0.999674  valongX = 0.999674
v = 0.999706  valongX = 0.999706
v = 0.999736  valongX = 0.999736
v = 0.999881  valongX = 0.999881
v = 0.999947  valongX = 0.999947
v = 0.999988  valongX = 0.999988
v = 0.999997  valongX = 0.999997
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999756  valongX = 0.999756
v = 0.999780  valongX = 0.999780
v = 0.999802  valongX = 0.999802
v = 0.999911  valongX = 0.999911
v = 0.999960  valongX = 0.999960
v = 0.999991  valongX = 0.999991
v = 0.999998  valongX = 0.999998
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999817  valongX = 0.999817
v = 0.999835  valongX = 0.999835
v = 0.999852  valongX = 0.999852
v = 0.999933  valongX = 0.999933
v = 0.999970  valongX = 0.999970
v = 0.999993  valongX = 0.999993
v = 0.999999  valongX = 0.999998
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999863  valongX = 0.999863
v = 0.999877  valongX = 0.999877
v = 0.999889  valongX = 0.999889
v = 0.999950  valongX = 0.999950
v = 0.999978  valongX = 0.999978
v = 0.999995  valongX = 0.999995
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999898  valongX = 0.999898
v = 0.999908  valongX = 0.999908
v = 0.999917  valongX = 0.999917
v = 0.999963  valongX = 0.999963
v = 0.999983  valongX = 0.999983
v = 0.999996  valongX = 0.999996
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999924  valongX = 0.999924
v = 0.999932  valongX = 0.999932
v = 0.999939  valongX = 0.999938
v = 0.999972  valongX = 0.999972
v = 0.999988  valongX = 0.999987
v = 0.999997  valongX = 0.999997
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999944  valongX = 0.999944
v = 0.999949  valongX = 0.999949
v = 0.999954  valongX = 0.999954
v = 0.999979  valongX = 0.999979
v = 0.999991  valongX = 0.999991
v = 0.999998  valongX = 0.999998
v = 1.000000  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999958  valongX = 0.999958
v = 0.999963  valongX = 0.999963
v = 0.999966  valongX = 0.999966
v = 0.999985  valongX = 0.999985
v = 0.999993  valongX = 0.999993
v = 0.999998  valongX = 0.999998
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999969  valongX = 0.999969
v = 0.999972  valongX = 0.999972
v = 0.999975  valongX = 0.999975
v = 0.999989  valongX = 0.999989
v = 0.999995  valongX = 0.999995
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999977  valongX = 0.999977
v = 0.999980  valongX = 0.999980
v = 0.999982  valongX = 0.999982
v = 0.999992  valongX = 0.999992
v = 0.999996  valongX = 0.999996
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999983  valongX = 0.999983
v = 0.999985  valongX = 0.999985
v = 0.999986  valongX = 0.999986
v = 0.999994  valongX = 0.999994
v = 0.999997  valongX = 0.999997
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999988  valongX = 0.999988
v = 0.999989  valongX = 0.999989
v = 0.999990  valongX = 0.999990
v = 0.999996  valongX = 0.999995
v = 0.999998  valongX = 0.999998
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999991  valongX = 0.999991
v = 0.999992  valongX = 0.999992
v = 0.999993  valongX = 0.999993
v = 0.999997  valongX = 0.999997
v = 0.999999  valongX = 0.999998
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 0.999993  valongX = 0.999993
v = 0.999994  valongX = 0.999994
v = 0.999995  valongX = 0.999995
v = 0.999997  valongX = 0.999997
v = 0.999999  valongX = 0.999999
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 1.000000  valongX = 1.000000
v = 5.230673  valongX = 2.826144
v = 4.761636  valongX = 2.572723
v = 2.439902  valongX = 1.318285
v = 0.967712  valongX = 0.522857
